# Nom, Vie, Force, Vitesse, Intelligence, Nen, Expérience, Capacité offensive, Capacité défensive, Capacité d'esquive, Capacité Ultime
Gon Freecss, 1000, 90, 80, 70, Renforcement, 1000, Jajanken, Bras de fer, Bond, Explosion d'Aura
Killua Zoldyck, 1000, 85, 95, 85, Transformation, 1200, Godspeed, Thunderbolt, Lightning Step, Electric Yoyo Rotation
Hisoka Morow, 1000, 80, 80, 90, Manipulation, 2000, Bungee Gum, Texture Trompeuse, Pluie de Cartes, Black Jack
Kurapika, 1000, 75, 70, 95, Matérialisation, 1500, Chaînes de Jugement, Prison de Nen, Activation des Yeux Écarlates, Emperor Time
Leorio Paradinight, 1000, 60, 55, 75, Emission, 600, Poing Téléporté, Bouclier de Nen, Réflexe Chirurgical, Multi Punch
Chrollo Lucilfer, 1000, 95, 85, 95, Spécialisation, 2500, Sun and Moon, Black Voice, Camouflage d'Ombre, Bandit Secret
Meruem, 1000, 120, 120, 100, Emission, 5000, Aura du Roi, Nen-Guard, Instinct Royal, Aura sphere
Neferpitou, 1000, 130, 110, 90, Renforcement, 3000, Terpsichora, Doctor Blythe, Saut Félin, Flash claw
Zeno Zoldyck, 1000, 100, 90, 100, Emission, 3200, Dragon Head, Protection Familiale, Disparition Furtive, Following Dragon
Isaac Netero, 1000, 110, 100, 105, Renforcement, 3500, Hyakushiki Kannon, Mur de Nen, Vitesse Divine, Priere du Coeur 
Uvogin, 1000, 120, 80, 65, Renforcement, 2400, Big Bang Impact, Armure Physique, Frappe Aveugle, Poing Sismique
Phinks, 1000, 100, 85, 70, Renforcement, 1800, Ripper Cyclotron, Force Inouïe, Déplacement en Flash, 1000 Cycles
Shalnark, 1000, 70, 80, 90, Manipulation, 1600, Automate Mode, Black Voice, Esquive Tactique, Auto Controle
Machi, 1000, 75, 85, 80, Transformation, 1500, Fils de Renforcement, Barrière de Fils, Déplacement Furtif, Veuve Noire
Feitan, 1000, 90, 100, 70, Transformation, 1700, Pain Packer, Vierge de Fer, Vitesse de l’Ombre, Rising Sun
Knuckle Bine, 1050, 95, 85, 80, Emission, 1900, A.P.R-Amortissement des Intérêts, Blocage Instantané, Esquive Rapide, Cash Back
Morel Mackernasey, 1000, 85, 75, 100, Matérialisation, 2200, Smoky Jail, Mur de Fumée, Stratégie de Fumée, Smoking Clones
Biscuit Krueger, 1000, 80, 85, 95, Transformation, 2100, Transformation Ultime, Bouclier de Bonbons, Pas Enchanté, Wonderlust

